V1,V2,V3,V4,V5,MID,condition,Consent,InstARate,ABase,AChoice1,AChoice2,AChoice3,AChoice4,AChoice5,AChoice6,AChoice7,AChoice8,AChoice9,AChoice10,InstBRate,BChoice1,BChoice2,BChoice3,BChoice4,BChoice5,BChoice6,BChoice7,BChoice8,BChoice9,BChoice10,BBase,InstOC,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,NoOCInst,NoOC1,NoOC2,NoOC3,NoOC4,NoOC5,NoOC6,NoOC7,NoOC8,NoOC9,NoOC10,CNoOC,COC,InstCRate,CBase,CChoice1,CChoice2,CChoice3,CChoice4,CChoice5,CChoice6,CChoice7,CChoice8,CChoice9,CChoice10,DNoOC,DOC,InstDRate,DChoice1,DChoice2,DChoice3,DChoice4,DChoice5,DChoice6,DChoice7,DChoice8,DChoice9,DChoice10,DBase,Check_See_README,Check100,CheckVisa,CheckGift,CheckCard,CheckRight,AttCheck,AttChoose3,sex,age
R_8x0s9d8C9FLy2WN,Default Response Set,1/24/15 10:13,1/24/15 10:15,1,11,No OC,1,1,7,6,7,5,7,6,7,2,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,2,2,1,,1,7,5,2,2,7,5,6,1,7,4,5,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,1,1,3,1,38
R_cMkyrgBWmx22bvD,Default Response Set,1/24/15 11:22,1/24/15 11:26,1,12,No OC,1,,,,,,,,,,,,,1,4,4,4,7,4,7,1,7,4,4,7,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,7,4,4,4,7,4,7,4,7,4,4,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,21
R_d0jbW4YB5IZewBL,Default Response Set,1/24/15 11:53,1/24/15 11:59,1,13,OC,1,1,7,7,1,1,7,7,7,1,7,1,1,,,,,,,,,,,,,1,2,1,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,5,1,7,4,7,1,7,1,1,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,44
R_6Se6h1IakAL7krP,Default Response Set,1/24/15 11:03,1/24/15 11:15,1,14,OC,1,,,,,,,,,,,,,1,7,4,3,7,4,7,1,7,3,7,7,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,1,1,7,7,3,2,7,4,3,1,7,3,5,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,7,1,53
R_0VcODhUgIyne2ah,Default Response Set,1/24/15 10:13,1/24/15 10:15,1,15,OC,1,1,7,6,5,2,7,4,5,3,7,5,6,,,,,,,,,,,,,1,1,1,2,1,1,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,3,7,5,5,4,6,4,5,6,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,24
R_3z80XyXEG5LDjdX,Default Response Set,1/24/15 11:40,1/24/15 11:48,1,16,No OC,1,1,7,5,1,3,7,1,7,5,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,1,2,1,1,1,,,,,,,,,,,,,,,1,,1,4,1,1,7,5,7,4,7,7,7,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,66
R_4IyAP76mAEKbbr7,Default Response Set,1/24/15 10:21,1/24/15 10:26,1,17,No OC,1,,,,,,,,,,,,,1,6,5,5,7,7,6,3,7,5,6,7,,,,,,,,,,,,1,1,2,2,1,2,2,2,1,2,2,1,,1,5,7,5,5,7,6,5,3,7,5,5,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,61
R_cx9ESVrBx4m4AOp,Default Response Set,1/24/15 10:57,1/24/15 11:03,1,18,OC,1,,,,,,,,,,,,,1,6,6,5,7,6,7,1,7,7,6,7,1,1,2,1,1,1,1,1,1,2,2,,,,,,,,,,,,,1,1,7,6,6,6,7,5,6,5,7,7,6,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,35
R_6utC4X2i7jDXaWp,Default Response Set,1/24/15 10:09,1/24/15 10:19,1,19,No OC,1,1,7,7,7,7,7,7,7,4,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,2,2,1,2,2,1,,1,7,7,4,1,7,2,5,1,7,2,1,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,FALSE,1,1,3,2,74
R_cPfG2tixAu01l53,Default Response Set,1/24/15 11:12,1/24/15 11:17,1,20,No OC,1,1,7,5,4,6,7,6,7,6,7,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,2,2,2,2,1,,1,6,3,3,3,6,4,6,5,6,1,1,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,31
R_40hotoRdfFmEIGF,Default Response Set,1/24/15 10:20,1/24/15 10:24,1,21,OC,1,1,7,7,7,3,7,2,3,1,7,7,4,,,,,,,,,,,,,1,2,2,2,1,2,1,2,1,1,2,,,,,,,,,,,,,1,1,7,7,7,4,7,3,3,1,7,7,3,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,1,1,7,2,20
R_1AhWGuRpGG2tVPf,Default Response Set,1/24/15 10:11,1/24/15 10:20,1,22,OC,1,,,,,,,,,,,,,1,7,7,7,7,7,7,6,6,6,7,7,1,1,2,2,1,1,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,5,5,7,7,6,4,3,5,6,7,,TRUE,TRUE,FALSE,TRUE,1,1,3,1,44
R_eX2nLxygnVNzpdz,Default Response Set,1/24/15 10:15,1/24/15 10:18,1,23,No OC,1,1,6,6,6,6,6,6,6,5,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,32
R_6nIfdZGaU3q2HXv,Default Response Set,1/24/15 12:04,1/24/15 12:10,1,24,No OC,1,1,7,7,1,2,7,6,7,3,7,1,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,2,2,1,,1,7,6,1,3,7,6,7,1,6,1,3,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,32
R_byi3dGQrtvRpred,Default Response Set,1/24/15 12:05,1/24/15 12:08,1,25,No OC,1,,,,,,,,,,,,,1,6,4,3,7,4,7,4,7,3,5,7,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,1,,1,5,3,2,7,4,6,4,5,2,5,5,,TRUE,TRUE,FALSE,TRUE,1,1,3,2,21
R_2lSEg7MKK88GHg9,Default Response Set,1/24/15 10:05,1/24/15 10:09,1,26,OC,1,,,,,,,,,,,,,1,7,7,2,7,7,7,2,7,4,4,7,1,2,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,5,1,7,2,7,2,7,2,1,7,,FALSE,TRUE,TRUE,TRUE,1,1,3,2,41
R_42BzH7PNF1SuXKB,Default Response Set,1/24/15 11:31,1/24/15 11:35,1,27,OC,1,1,5,6,7,4,6,5,3,1,1,5,3,,,,,,,,,,,,,1,1,1,2,1,1,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,6,3,5,5,2,1,1,5,3,5,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,39
R_81B2l03UyQZbzlH,Default Response Set,1/24/15 10:27,1/24/15 10:30,1,28,OC,1,,,,,,,,,,,,,1,7,5,2,7,3,7,1,7,2,3,5,1,1,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,5,7,4,1,7,2,7,1,7,1,1,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,TRUE,1,1,3,2,46
R_5bvM8RF14PcgDSR,Default Response Set,1/24/15 11:28,1/24/15 11:35,1,29,OC,1,1,6,6,7,3,7,5,6,1,6,1,2,,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,2,2,,,,,,,,,,,,,1,1,6,6,7,1,6,6,6,1,6,1,2,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,28
R_5o8KvcCAP7rLzDL,Default Response Set,1/24/15 11:58,1/24/15 12:00,1,30,No OC,1,,,,,,,,,,,,,1,7,7,2,7,5,6,1,7,1,5,7,,,,,,,,,,,,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,1,,1,5,2,2,7,3,5,1,6,1,2,4,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,27
R_8870wCgW8WWLrVz,Default Response Set,1/24/15 11:35,1/24/15 11:38,1,31,OC,1,1,7,6,1,1,6,1,6,1,7,1,1,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,7,7,1,1,7,1,6,1,7,1,1,,,,,,,,,,,,,,,,TRUE,FALSE,TRUE,TRUE,1,1,3,2,20
R_0MxNvkTzjHsJ5Rz,Default Response Set,1/24/15 10:09,1/24/15 10:12,1,32,OC,1,,,,,,,,,,,,,1,6,6,1,6,3,5,2,5,1,4,6,1,1,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,1,1,6,7,5,1,6,2,3,2,3,1,2,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,21
R_51i3bfmMmlAOPRj,Default Response Set,1/24/15 10:06,1/24/15 10:08,1,33,No OC,1,,,,,,,,,,,,,1,4,6,4,6,2,2,2,4,3,1,5,,,,,,,,,,,,1,1,1,1,1,2,2,2,1,2,2,,,,,,,,,,,,,,,1,,1,5,6,5,6,2,1,1,1,1,1,3,,TRUE,FALSE,TRUE,TRUE,1,1,3,1,26
R_57k4ixcPslHIrzL,Default Response Set,1/24/15 10:40,1/24/15 10:45,1,34,OC,1,,,,,,,,,,,,,1,7,7,1,7,5,7,1,7,1,4,6,1,1,1,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,6,6,7,1,6,6,6,1,6,1,1,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,FALSE,1,1,3,2,57
R_5oM6PzyafpIwTBj,Default Response Set,1/24/15 10:05,1/24/15 10:11,1,35,No OC,1,,,,,,,,,,,,,1,4,4,4,7,4,7,6,7,3,5,7,,,,,,,,,,,,1,2,2,2,1,2,1,2,1,2,2,1,,1,6,4,4,4,7,4,7,5,7,4,5,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,57
R_22V6FwwfLEIFGol,Default Response Set,1/24/15 10:06,1/24/15 10:12,1,36,OC,1,1,7,7,7,7,7,7,5,5,3,1,5,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,,,,,,,,,,,,,1,1,7,7,7,7,7,7,3,3,2,1,5,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,43
R_6Wimhlo1ihQQ3E9,Default Response Set,1/24/15 10:10,1/24/15 10:14,1,37,No OC,1,,,,,,,,,,,,,1,7,6,4,4,6,2,2,3,2,5,4,,,,,,,,,,,,1,1,2,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,1,,1,7,5,5,7,7,2,1,2,1,5,5,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,27
R_dnlokHJWRHKXYuF,Default Response Set,1/24/15 10:09,1/24/15 10:12,1,38,No OC,1,,,,,,,,,,,,,1,5,5,5,7,6,5,5,5,4,4,7,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,1,,1,6,5,5,5,7,5,5,4,5,5,4,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,25
R_bCu3TpyYmcrcjvD,Default Response Set,1/24/15 11:03,1/24/15 11:12,1,39,No OC,1,1,6,2,1,1,7,2,3,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,1,1,1,1,,1,6,2,2,1,7,2,3,1,7,1,2,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,34
R_6KyLuCp6oSB21Mx,Default Response Set,1/24/15 11:08,1/24/15 11:15,1,40,No OC,1,,,,,,,,,,,,,1,6,6,5,6,6,5,2,5,5,5,5,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,2,2,,,,,,,,,,,,,,,1,,1,6,6,5,6,6,5,2,5,4,5,5,,TRUE,TRUE,FALSE,TRUE,1,1,3,1,54
R_bqkCy2goWHDul1j,Default Response Set,1/24/15 11:10,1/24/15 11:12,1,41,OC,1,1,7,7,7,3,7,5,7,4,1,4,7,,,,,,,,,,,,,1,2,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,6,2,7,5,5,2,1,2,6,6,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,20
R_3kZZteUjzPzOiah,Default Response Set,1/24/15 10:47,1/24/15 10:54,1,42,OC,1,,,,,,,,,,,,,1,7,1,6,7,4,7,5,7,6,6,7,1,1,2,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,1,6,7,1,7,5,7,6,7,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,58
R_8qBqI111odk9gBT,Default Response Set,1/24/15 10:08,1/24/15 10:10,1,43,No OC,1,1,7,6,4,3,7,7,4,2,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,2,1,,1,7,6,4,3,7,6,5,2,7,4,3,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,1,1,3,1,30
R_4JfESWJWGQJDKcd,Default Response Set,1/24/15 10:07,1/24/15 10:10,1,44,No OC,1,1,7,6,1,1,7,5,5,1,7,2,4,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,1,2,1,2,2,,,,,,,,,,,,,,,1,,1,6,1,1,7,5,6,1,7,1,4,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,30
R_6J97u2YdmXEEX65,Default Response Set,1/24/15 11:40,1/24/15 11:44,1,45,OC,1,,,,,,,,,,,,,1,6,2,6,7,6,7,2,7,5,2,7,1,1,2,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,2,3,6,5,6,2,6,6,2,7,,TRUE,TRUE,TRUE,TRUE,1,1,5,2,21
R_abNwldVwKYw3o8d,Default Response Set,1/24/15 10:12,1/24/15 10:17,1,46,OC,1,,,,,,,,,,,,,1,5,7,1,7,7,7,4,7,7,7,7,1,2,1,2,1,1,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,1,7,7,7,4,7,7,4,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,28
R_blP7GwhgJT7HRZP,Default Response Set,1/24/15 11:13,1/24/15 11:16,1,47,No OC,1,,,,,,,,,,,,,1,3,4,5,5,4,5,2,5,2,4,5,,,,,,,,,,,,1,2,2,2,1,1,1,2,1,1,1,,,,,,,,,,,,,,,1,,1,2,2,2,6,4,6,2,6,3,4,6,,FALSE,FALSE,FALSE,FALSE,0,1,5,1,47
R_ezzOHBDqVOVUKMt,Default Response Set,1/24/15 12:01,1/24/15 12:07,1,48,OC,1,1,6,5,4,6,7,5,6,5,6,5,5,,,,,,,,,,,,,1,2,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,6,5,4,5,7,5,6,4,6,4,5,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,58
R_8ep7HZx1g4BfEZ7,Default Response Set,1/24/15 12:08,1/24/15 12:12,1,49,No OC,1,,,,,,,,,,,,,1,5,4,4,7,1,7,1,7,7,1,7,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,2,2,1,,1,7,4,1,1,7,1,7,1,7,1,1,,,,,,,,,,,,,,,,FALSE,FALSE,TRUE,TRUE,1,1,3,2,47
R_9QAGR0wQsx7eWah,Default Response Set,1/24/15 10:57,1/24/15 11:02,1,50,No OC,1,1,7,7,6,5,7,7,6,3,7,4,3,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,2,2,2,2,2,1,,1,6,6,5,3,7,7,5,2,4,2,2,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,5,2,28
R_6z1nZaxoL6hU8jX,Default Response Set,1/24/15 10:05,1/24/15 10:11,1,51,OC,1,1,7,4,2,7,7,7,7,1,7,1,7,,,,,,,,,,,,,1,2,2,2,1,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1,7,7,7,7,1,7,1,7,7,,TRUE,TRUE,FALSE,TRUE,1,1,3,2,49
R_3IqvGxGLGiDvoQl,Default Response Set,1/24/15 12:12,1/24/15 12:15,1,52,OC,1,1,7,5,5,3,7,4,5,4,5,4,7,,,,,,,,,,,,,1,1,2,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,4,7,5,5,4,6,4,7,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,32
R_8FTPisoolZ6soIt,Default Response Set,1/24/15 10:48,1/24/15 10:52,1,53,OC,1,1,7,4,6,5,7,6,7,4,7,4,6,,,,,,,,,,,,,1,2,2,1,1,2,1,2,2,2,2,,,,,,,,,,,,,1,1,7,4,5,6,7,6,6,4,6,4,6,,,,,,,,,,,,,,,,TRUE,TRUE,FALSE,TRUE,1,1,3,2,54
R_5nHSH6qM66x2IQZ,Default Response Set,1/24/15 10:07,1/24/15 10:15,1,54,OC,1,1,7,7,4,5,7,6,7,5,7,6,5,,,,,,,,,,,,,1,1,2,2,1,2,1,2,2,2,2,,,,,,,,,,,,,1,1,7,6,4,4,7,6,7,4,6,5,4,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,53
R_3IxRtYgwkZHWGCF,Default Response Set,1/24/15 11:51,1/24/15 11:56,1,55,OC,1,,,,,,,,,,,,,1,6,5,2,3,6,3,1,3,1,5,3,1,1,1,2,1,1,1,2,1,2,2,,,,,,,,,,,,,1,1,3,6,5,1,3,6,3,1,3,1,5,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,42
R_0JQXPXUJ5ZGbPW5,Default Response Set,1/24/15 11:43,1/24/15 11:47,1,56,OC,1,,,,,,,,,,,,,1,5,6,6,7,6,7,4,7,6,6,7,1,1,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,1,1,7,4,3,3,7,3,6,2,7,3,5,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,1,1,6,1,53
R_d0SsQzhUWS9rgiN,Default Response Set,1/24/15 11:02,1/24/15 11:08,1,57,OC,1,1,7,7,7,7,7,7,7,2,7,7,7,,,,,,,,,,,,,1,1,1,1,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6,6,7,2,7,2,7,7,7,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,2,65
R_0kzs7PTwrlqD3jn,Default Response Set,1/24/15 10:41,1/24/15 10:46,1,58,OC,1,1,7,7,7,5,7,7,7,6,7,6,6,,,,,,,,,,,,,1,1,2,2,1,2,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,5,7,7,7,5,7,5,6,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,2,57
R_9NvqCoCvXn09WhD,Default Response Set,1/24/15 11:16,1/24/15 11:21,1,59,OC,1,1,7,7,7,7,7,7,7,2,7,2,7,,,,,,,,,,,,,1,1,2,2,1,1,1,2,1,2,2,,,,,,,,,,,,,1,1,7,7,7,2,7,7,7,2,7,2,7,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,63
R_9pn2u5DqaYl2Jq5,Default Response Set,1/24/15 10:54,1/24/15 10:57,1,60,No OC,1,1,7,5,2,2,7,4,5,2,7,4,6,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,2,1,2,1,,,,,,,,,,,,,,,1,,1,3,2,2,7,3,7,1,7,4,6,7,,TRUE,TRUE,TRUE,TRUE,1,1,3,1,32
R_bvaHVFw6a642d8N,Default Response Set,1/24/15 10:34,1/24/15 10:37,1,61,OC,1,,,,,,,,,,,,,1,4,6,6,6,4,4,5,6,5,3,3,1,2,1,1,1,2,2,2,1,2,2,,,,,,,,,,,,,1,1,3,3,7,6,7,3,4,2,6,4,3,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,1,1,3,1,55
R_eyOSs8oEMZIaMYJ,Default Response Set,1/24/15 10:06,1/24/15 10:13,1,62,No OC,1,1,3,6,4,6,2,4,4,5,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,2,2,1,2,2,1,1,,1,2,6,3,3,5,6,2,3,6,2,3,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,23
R_9KzWkIjXr02BATH,Default Response Set,1/24/15 10:32,1/24/15 10:46,1,63,OC,1,1,5,6,5,6,7,5,6,4,5,4,4,,,,,,,,,,,,,1,1,1,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,5,4,6,4,6,5,5,5,4,5,,TRUE,FALSE,TRUE,TRUE,1,1,3,1,31
R_cNhtlTiA0wsr01v,Default Response Set,1/24/15 10:14,1/24/15 10:18,1,64,OC,1,1,7,7,7,2,7,7,7,3,7,1,7,,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,7,2,6,6,4,1,4,1,3,5,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,35
R_cZmHbeNDS17cAQJ,Default Response Set,1/24/15 10:50,1/24/15 10:56,1,65,OC,1,,,,,,,,,,,,,1,5,5,6,7,5,7,1,7,4,6,6,1,2,2,1,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,6,5,5,7,5,6,1,6,4,7,5,,FALSE,FALSE,TRUE,TRUE,1,1,5,1,36
R_0BQFkLI67PqSBi5,Default Response Set,1/24/15 11:15,1/24/15 11:20,1,66,OC,1,,,,,,,,,,,,,1,7,7,3,7,4,7,2,7,7,4,7,1,1,1,2,1,2,1,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,6,2,7,3,7,3,7,7,4,7,,FALSE,FALSE,FALSE,FALSE,0,1,3,1,21
